nombre_comercial,razon_social,actividad_economica,numero_de_personal,tipo_vial,nombre_vial,tipo_vial_1,nombre_vial_1,tipo_vial_2,nombre_vial_2,tipo_vial_3,nombre_vial_3,letra_ext,edificio,edificio_piso,letra_int,tipo_asentamiento,nombre_asentamiento,tipo_centro_comercial,nombre_centro_comercial,numero_local,entidad,municipio,localidad,ageb,telefono,email,web,tipo_unidad_economica,fecha_alta,id,codigo_actividad_economica,numero_ext,numero_int,codigo_postal,clave_entidad,clave_municipio,clave_localidad,manzana,latitud,longitud
hospedaje el convento,,hoteles sin otros servicios integrados,0 a 5 personas,calle,a toluca,,ninguno,,ninguno,vereda,al panteon,sn,,,,colonia,el calvario,,,,mexico                      ,sultepec,sultepec de pedro ascencio de alquisiras,0169,,,,fijo,2010-07,6355602,721112,,,51600.0,15,80,1,24,18.86236561,-99.96743391
hospedaje la hacienda de la flor,,hoteles con otros servicios integrados,0 a 5 personas,calle,durango,calle,benito juarez,calle,vergel,calle,16 de septiembre,sn,,,,colonia,centro,,,,mexico                      ,valle de bravo,valle de bravo,0066,7262626660,,,fijo,2010-07,6266763,721111,6.0,,51200.0,15,110,1,20,19.19724664,-100.1315871
hospedaje mi hotelito,,hoteles sin otros servicios integrados,0 a 5 personas,calle,xochiquetzal,calle,aztecas,calle,toltecas,calle,huehuecoyotl,sn,,,,colonia,culturas de mexico,,,,mexico                      ,chalco,chalco de diaz covarrubias,0788,,,,fijo,2010-07,6265577,721112,,,56600.0,15,25,1,25,19.26452979,-98.90403495
hospedaje san jose,,hoteles sin otros servicios integrados,0 a 5 personas,calle,sur 12,avenida,san agustin,cerrada,primera sur 10 y 16,calle,sur 14,mz 17 lote 16,,,,colonia,nuevo paseo de san agustin,,,,mexico                      ,ecatepec de morelos,ecatepec de morelos,0741,015557900819,trozinoborrego@outlook.com,,fijo,2010-07,6265817,721112,33.0,,55130.0,15,33,1,13,19.52854972,-99.04794999
hotel,,hoteles sin otros servicios integrados,0 a 5 personas,calle,del panteon poniente,calle,de los serrano,calzada,del panteon,calle,carlos salinas de gortari,sn,,,,barrio,la magdalena,,,,mexico                      ,san mateo atenco,san mateo atenco,0363,,,,fijo,2014-12,2452041,721112,,,52100.0,15,76,1,1,19.2677802,-99.54499328
hotel & urbane,hospedajes rosique sa de cv,hoteles sin otros servicios integrados,11 a 30 personas,calle,tultepec-coacalco,calle,mexiquense,,ninguno,,maestro jesus silva herzog,,,,,colonia,san francisco coacalco,,,,mexico                      ,coacalco de berriozabal,san francisco coacalco,0137,5521596309,hospedajesrosique@gmail.com,,fijo,2016-10,6760643,721112,28.0,,55712.0,15,20,1,2,19.64154125,-99.11450839
hotel & villas monarca,,hoteles sin otros servicios integrados,6 a 10 personas,otro (especifique),vial jorge jimenez cantu,continuacion,ingeniero luis galindo ruiz,calle,jose martin,calle,jose maria coss,,,,,colonia,isidro fabela,,,,mexico                      ,atlacomulco,atlacomulco de fabela,013a,7121204310,fanysa73@yahoo.com.mx,,fijo,2010-07,6355282,721112,106.0,,50450.0,15,14,1,5,19.78809783,-99.87640704
hotel 5 palomas,,hoteles sin otros servicios integrados,0 a 5 personas,avenida,alfredo del mazo velez,avenida,lic felipe de jesus chaparro,calle,ignacio rayon,avenida,licenciado felipe de jesus chaparro,sn,,,,colonia,centro,,,,mexico                      ,temascalcingo,temascalcingo de jose maria velasco,0273,,,,fijo,2014-12,2459799,721112,,,50400.0,15,85,1,10,19.91159102,-100.00840141
hotel abcentral,operadora abcentral sa de cv,hoteles sin otros servicios integrados,11 a 30 personas,calle,luis e. alvarez,calle,jose maria morelos y pavon,calle,manuel avila camacho,calle,emiliano zapata,,,,,colonia,melchor muzquiz,,,,mexico                      ,ecatepec de morelos,ecatepec de morelos,0934,,,,fijo,2014-12,2286597,721112,34.0,,55240.0,15,33,1,13,19.50875013,-99.03808557
hotel ac,,hoteles sin otros servicios integrados,0 a 5 personas,calle,manuel negrete,,ninguno,calle,nicolas bravo,calle,guillermo prieto,,,,,barrio,san agustin,,,,mexico                      ,xalatlaco,xalatlaco,0061,,,,fijo,2010-07,6266496,721112,60.0,,52680.0,15,43,1,13,19.17647922,-99.42082275
hotel acambay,,hoteles sin otros servicios integrados,6 a 10 personas,calle,16 de septiembre,,ninguno,,ninguno,,ninguno,sn,,,,colonia,centro,,,,mexico                      ,acambay de ruiz castaneda,villa de acambay de ruiz castaneda,0324,,,,fijo,2010-07,6266517,721112,,,50360.0,15,1,1,2,19.94738912,-99.84378749
hotel aculco,,hoteles sin otros servicios integrados,0 a 5 personas,avenida,morelos,avenida,primera de matamoros,calle,del sol,calle,galeana,,,,,colonia,centro,,,,mexico                      ,aculco,aculco de espinoza,0117,,,,fijo,2010-07,6266694,721112,12.0,,50360.0,15,3,1,16,20.0999188,-99.82458716
