nombre_comercial,razon_social,actividad_economica,numero_de_personal,tipo_vial,nombre_vial,tipo_vial_1,nombre_vial_1,tipo_vial_2,nombre_vial_2,tipo_vial_3,nombre_vial_3,letra_ext,edificio,edificio_piso,letra_int,tipo_asentamiento,nombre_asentamiento,tipo_centro_comercial,nombre_centro_comercial,numero_local,entidad,municipio,localidad,ageb,telefono,email,web,tipo_unidad_economica,fecha_alta,id,codigo_actividad_economica,numero_ext,numero_int,codigo_postal,clave_entidad,clave_municipio,clave_localidad,manzana,latitud,longitud
centro historico de la ciudad de mexico,centro historico de la ciudad de mexico sa de cv,hoteles con otros servicios integrados,6 a 10 personas,calle,lago zurich,avenida,rio san joaquin,calle,f.c. de cuernavaca,calle,presa falcon, ,245,20, ,colonia,ampliacion granada,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,0444,015511031537,ediaz@centro-historico.com.mx,,fijo,2010-07,989305,721111,245.0,,11529.0,9,16,1,1,19.44441385,-99.2028269
chaya bed breakfast boutique,banana consulting sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,doctor mora,avenida,hidalgo,calle,cristobal colon,avenida,balderas,,,,,colonia,centro zocalo df,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0733,5555129071,,www.chayabb.com,fijo,2016-10,6749924,721111,9.0,,6050.0,9,15,1,5,19.436146,-99.14619203
city express,promotora plaza sol sa de cv,hoteles con otros servicios integrados,11 a 30 personas,avenida,universidad,avenida,8 sur popocatepetl,,ninguno,,ninguno,,,,,colonia,xoco,,,,ciudad de mexico,benito juarez,benito juarez,0952,55552498050,ngonzalez@hotelescity.com,www.hotelescity.com,fijo,2014-12,6200973,721111,1038.0,,11111.0,9,14,1,5,19.36494922,-99.16837514
city express cdmx,promotora plaza sol sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,republica de uruguay,,,,,,,,,,,colonia,centro historico,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0818,5552498050,n.gonzalez@hotelescity.com,www.hotelescity.com,fijo,2019-04,6874961,721111,45.0,,6000.0,9,15,1,3,19.43059574,-99.13786037
city express central de abasto,promotora plaza sol sa de cv,hoteles sin otros servicios integrados,11 a 30 personas,avenida,6 sur trabajadoras sociales,calle,hualquila,calle,ninguno,calle,hualquila,,,,,colonia,central de abasto cdmx,,,,ciudad de mexico,iztapalapa,iztapalapa,2475,5552498050,ngonzalez@hotelescity.com,www.hotelescity.com,fijo,2016-01,6722073,721112,540.0,,9040.0,9,7,1,23,19.36839651,-99.10029303
city express ebc,promotora plaza sol sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,havre,calle,hamburgo,avenida,paseo de la reforma,calle,niza,,,,,colonia,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0803,5552498050,ngonzalez@hotelescity.com,www.hotelescity.com,fijo,2010-07,6318412,721111,21.0,,6600.0,9,15,1,10,19.42768592,-99.16188647
city express hotele buenavista,operadora de hoteles nualva sa de cv,hoteles con otros servicios integrados,31 a 50 personas,avenida,insurgentes norte,calle,salvador diaz miron,eje vial,1 norte (jose antonio alzate),calle,doctor mariano azuela,,,,,colonia,santa maria la ribera,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0485,555519460880,cebnv.contador@cityexpress.com,,fijo,2012-06,6317244,721111,226.0,,6400.0,9,15,1,14,19.44712194,-99.15324574
city express la raza,promotora plaza sol sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calzada,calzada vallejo,,,,,,,,,,,colonia,san francisco xocotitla,,,,ciudad de mexico,gustavo a. madero,gustavo a. madero,0580,5552498050,,www.hotelescity.com,fijo,2019-04,6883647,721111,296.0,,2960.0,9,5,1,18,19.46802168,-99.14418622
city express suites anzures,promotora plaza sol sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,leibnitz,calle,calzada mariano escobedo,calle,leibnitz,calle,darwin,,,,,colonia,anzures,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,068a,5552498050,ngonzalez@hotelescity.com,www.hotelescity.com,fijo,2014-12,690829,721111,120.0,,11590.0,9,16,1,21,19.4292101,-99.17848739
city plus periferico sur tlalpan,promotora plaza sol sa de cv,hoteles con otros servicios integrados,11 a 30 personas,periferico,anillo adolfo ruiz cortines,calle,forestal,privada,las flores,cerrada,las flores,,,,,colonia,guadalupe,,,,ciudad de mexico,tlalpan,tlalpan,0981,5552498050,ngonzalez@hotelescity.com,www.hotelescity.com,fijo,2017-11,6814119,721111,4860.0,,14388.0,9,12,1,3,19.28686592,-99.14868326
compania de operaciones hoteleras de mexico sa de cv,compania de operaciones hoteleras de mexico sa de cv,hoteles con otros servicios integrados,51 a 100 personas,,minerva,,barranca del muerto,calle,hera,calle,hercules,,,,,,credito constructor,,,,ciudad de mexico,benito juarez,benito juarez,0929,,,,fijo,2012-06,6413907,721111,80.0,,3940.0,9,14,1,17,19.36454328,-99.17967805
condesa df hotel,hotel habita sa de cv,hoteles con otros servicios integrados,51 a 100 personas,calle,guadalajara,calle,parque espana,calle,colima,avenida,veracruz,,,,,colonia,condesa,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,1182,015552412600,,www.grupohabita.mx,fijo,2010-07,6317077,721111,103.0,,6700.0,9,15,1,9,19.41621443,-99.17187569
condesa suites,condesa suites sa de cv,hoteles sin otros servicios integrados,6 a 10 personas,calle,juan de la barrera,avenida,mazatlan,calle,cuernavaca,calle,antonio sola,,,,,colonia,condesa,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,1182,5511649900,victorpb@sdrasesores.mx,,fijo,2010-07,6258330,721112,66.0,,6140.0,9,15,1,5,19.41635371,-99.17516684
controladora cabi,fideicomiso f/1596 ,hoteles con otros servicios integrados,0 a 5 personas,avenida,santa fe,calle,ninguno,calle,ninguno,avenida,mexico-toluca,,world plaza,piso 7,,colonia,cruz manca,edificios comerciales y de servicios,world plaza,,ciudad de mexico,cuajimalpa de morelos,cuajimalpa de morelos,0369,015591507500,,www.fibrahotel.com,fijo,2010-07,6322787,721111,481.0,,5349.0,9,4,1,71,19.35922225,-99.27167611
corporate housing st isidro,schana sa de cv,hoteles sin otros servicios integrados,51 a 100 personas,calle,san isidro,calle,cerrada tecamachalco,boulevard,boulevard presidente manuel avila camacho,cerrada,palomas,,,,,colonia,reforma social,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,0730,,,,fijo,2010-07,6226666,721112,63.0,,11560.0,9,16,1,18,19.43386451,-99.21223233
corporativo,hotel habita sa de cv,hoteles con otros servicios integrados,6 a 10 personas,calle,lafayette,calle,shakespeare,eje vial,3 poniente (thiers),calle,gutemberg,,,,,colonia,anzures,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,0707,015552412540,esoria@hotelhabita.com,www.grupohabitamx,fijo,2010-07,6310652,721111,28.0,,11590.0,9,16,1,4,19.43302529,-99.17759602
courtvard by marriott revolucion,hotel flamingos plaza sa de cv,hoteles con otros servicios integrados,51 a 100 personas,circuito,interior (avenida revolucion),calle,11 de abril,calle,martires de tacubaya,avenida,primero de mayo,,,,,colonia,tacubaya,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,1156,5557232961,contabilidad@hotelcdmx.com,www.courtyard-mexico-city-revolucion.hotel-rn.com,fijo,2010-07,6258166,721111,333.0,,11870.0,9,16,1,24,19.39659172,-99.1853661
despacho administrativo,real cari sa de cv,hoteles sin otros servicios integrados,0 a 5 personas,calle,marcos lopez jimenez,calle,elisa acuna rosete,calle,cutberto aroche,calle,g. alvarez t.,sn,,,,colonia,santa martha acatitla,,,,ciudad de mexico,iztapalapa,iztapalapa,0623,,,,fijo,2010-07,6266026,721112,,,9140.0,9,7,1,2,19.3781,-99.01491
eco hotel,operadora los saceda sa de cv,hoteles sin otros servicios integrados,0 a 5 personas,calle,zaragoza,calle,moctezuma,calle,carlos j. meneses,calle,juan aldama,,,,,colonia,buenavista,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0502,015555926794,,,fijo,2017-11,6797809,721112,114.0,,6350.0,9,15,1,19,19.44395002,-99.14929175
el cid resort,hoteles el cid mazatlan sa de cv,hoteles con otros servicios integrados,0 a 5 personas,avenida,paseo de la reforma,avenida,rio nilo,calle,rio mississipi,calle,rio lerma,,,,,colonia,cuauhtemoc,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0930,,,,fijo,2010-07,6305085,721111,423.0,,6500.0,9,15,1,5,19.42566,-99.1714
el hotelito,inmobiliaria verdugo sa de cv,hoteles sin otros servicios integrados,6 a 10 personas,calzada,de tlalpan,calzada,espliego,calle,nezahualpilli,avenida,division del norte,,,,,colonia,xotepingo,,,,ciudad de mexico,coyoacan,coyoacan,0696,8444155362,a.amaro@maraliflores.com,,fijo,2014-12,6258506,721112,2591.0,,4230.0,9,3,1,21,19.32571616,-99.13900599
enlace comercial mg,,hoteles sin otros servicios integrados,0 a 5 personas,eje vial,2 sur (avenida queretaro),eje vial,3 poniente (medellin),avenida,insurgentes sur,eje vial,2a sur (san luis potosi),,,6,,colonia,roma norte,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,1214,,,,fijo,2010-07,6317036,721112,238.0,,6700.0,9,15,1,24,19.41373529,-99.16530745
epoca hoteles,epoca hoteles sa de cv,hoteles con otros servicios integrados,251 y mas personas,calle,5 de mayo,calle,isabel la catolica,calle,segunda cerrada 5 de mayo,calle,francisco i. madero,,,,,colonia,centro,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0771,5555100337,ofcpuebla2017@gmail.com,,fijo,2019-04,6884806,721111,43.0,,6000.0,9,15,1,16,19.43409483,-99.13594423
estacionamiento de gevic,gevic sa de cv,hoteles con otros servicios integrados,0 a 5 personas,calle,ciencias,calle,avenida progreso,calle,jose marti,calle,general salvador alvarado,,,,,colonia,escandon,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,118a,5555150713,apc_9704@yahoo.com.mx,,fijo,2010-07,6314904,721111,83.0,,11800.0,9,16,1,10,19.40363634,-99.1807442
estacionamiento hotel premier,hotel premier sa,hoteles con otros servicios integrados,0 a 5 personas,calle,milan,calle,general prim,calle,lucerna,calle,viena,,,,,colonia,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0856,5555354289,selene.canizal@oamyasociados.com,,fijo,2010-07,1042286,721111,19.0,,6600.0,9,15,1,16,19.43086464,-99.15665721
estancia 39,grupo rodeidan sa de cv,hoteles sin otros servicios integrados,0 a 5 personas,calle,carlos b. zetina,calle,avenida progreso,eje vial,4 sur (avenida benjamin franklin),calle,general francisco murguia,,,,,colonia,escandon,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,118a,,,,fijo,2016-10,6738199,721112,39.0,,11800.0,9,16,1,19,19.40680814,-99.18260201
eurostar suites reforma,operadora hotelera michelangelo sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,rio amazonas,calle,rio lerma,avenida,paseo de la reforma,calle,rio guadiana,,,,,colonia,cuauhtemoc,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0837,5557030620,,www.erostarshotels.com.mx,fijo,2014-12,6258447,721111,78.0,,6500.0,9,15,1,1,19.43057199,-99.16323994
eurostar zona rosa,operadora hotelera zona rosa sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,londres,calle,amberes,calle,genova,calle,hamburgo,,,,sn,colonia,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,095a,5550800700,,www.euroestarsuitszonarosa.com,fijo,2010-07,6318362,721111,115.0,,6600.0,9,15,1,8,19.42540892,-99.16414743
eurostars reforma,operadora hotelera michelangelo sa de cv,hoteles con otros servicios integrados,51 a 100 personas,calle,rio amazonas,calle,rio lerma,avenida,paseo de la reforma,calle,rio guadiana,,,,,colonia,cuauhtemoc,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0748,5555353136,administracion@eurostarssuitesreforma.com,www.eurostarssuitesreforma.com,fijo,2010-07,6256907,721111,78.0,,6500.0,9,15,1,9,19.43408334,-99.14492998
exe cities reforma,operadora hotelera michelangelo sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,roma,calle,hamburgo,calle,dinamarca,calle,berlin,,,,,colonia,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0803,5557031403,administracion@execitiesreforma.com,www.execitiesreforma.com,fijo,2014-12,895606,721111,40.0,,6600.0,9,15,1,3,19.42981915,-99.15956807
exe city ex reforma,operadora hotelera michelangelo sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,roma,,dinamarca,,av de los insurgentes sur,,ninguno,,,,,colonia,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0803,5557030620,,www.eurostarshotels.com.mx,fijo,2016-10,6735629,721111,40.0,,6600.0,9,15,1,3,19.42981915,-99.15956807
explotadora de inmuebles la morena sa de cv,explotadora de inmuebles la morena sa de cv,hoteles sin otros servicios integrados,0 a 5 personas,avenida,paseo de la reforma,avenida,rio guadalquivir,calle,rio nilo,calle,rio volga,,,,,colonia,cuauhtemoc,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0930,,,,fijo,2010-07,6259160,721112,373.0,,6500.0,9,15,1,4,19.4265,-99.16959
fa santa fe,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,calle,3,avenida,santa fe,avenida,javier barros sierra,calle,2,,,,,colonia,lomas de santa fe,,,,ciudad de mexico,alvaro obregon,alvaro obregon,1542,018005045050,,www.fiestainn.com,fijo,2010-07,6317017,721111,55.0,,1210.0,9,10,1,51,19.36518925,-99.26267015
fi acapulco,playa poniente sa de cv,hoteles con otros servicios integrados,0 a 5 personas,calle,montes urales norte,calle,pelvoux,avenida,paseo de la reforma,calle,prado sur,,,,,colonia,lomas de chapultepec,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,0995,015552017646,contadorpp@corpomet.com.mx,,fijo,2013-07,6310646,721111,635.0,,11000.0,9,16,1,18,19.42626184,-99.20438437
fi centro historico,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,calle,azueta,calle,revillagigedo,calle,azueta,calle,independencia,,,,,colonia,centro,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0748,,,,fijo,2010-07,6310682,721111,76.0,,6010.0,9,15,1,27,19.43504287,-99.14650486
fi insurgentes sur,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,continuacion,interior (avenida patriotismo),continuacion,11 de abril,calle,puente de la morena,boulevard,rio becerra,,,,,colonia,san pedro de los pinos,,,sn,ciudad de mexico,benito juarez,benito juarez,0187,,,,fijo,2010-07,6317019,721111,229.0,,3800.0,9,14,1,26,19.39599816,-99.18103378
fi insurgentes viaducto,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,calle,jose marti,calle,nuevo leon,calle,ingenieros,calle,topografos,,,,,colonia,escandon,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,1226,,,,fijo,2010-07,6306650,721111,553.0,,11800.0,9,16,1,17,19.3999978,-99.17085038
fibnamex,fibnamex sa de cv,hoteles con otros servicios integrados,0 a 5 personas,periferico,boulevard adolfo ruiz cortines,calle,2 oriente,calle,3 oriente,calle,2 norte,,,,,colonia,toriello guerra,,,,ciudad de mexico,tlalpan,tlalpan,0411,0156060777,rgandara@dewimed.com.mx,,fijo,2014-12,6258835,721111,5271.0,,1405.0,9,12,1,2,19.29427604,-99.15879813
fiesta americana reforma,hotelera administradora del centro sa de cv,hoteles con otros servicios integrados,0 a 5 personas,avenida,paseo de la reforma,avenida,milan,calle,versalles,calle,atenas,,,,,colonia,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0803,,,,fijo,2010-07,6258271,721111,80.0,,6600.0,9,15,1,7,19.4325147,-99.15495164
fiesta inn,controladora hotelera poh sa de cv,hoteles con otros servicios integrados,31 a 50 personas,avenida,rio churubusco,eje vial,5 sur (leyes de reforma),calle,ninguno,calle,frutas y legumbres,,,,,colonia,central de abasto,plazuelas comerciales,plaza central,,ciudad de mexico,iztapalapa,iztapalapa,2475,5556402300,contralorfiplc@posadas.com,www.fiestainn.com,fijo,2016-01,6726714,721111,1635.0,,9040.0,9,7,1,10,19.37868591,-99.09566843
fiesta inn,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,avenida,paseo de la reforma,ninguno,ninguno,calle,prado sur,ninguno,ninguno,,,,,colonia,lomas de chapultepec,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,0919,018005045050,,www.fiestainn.com,fijo,2010-07,6309981,721111,1015.0,,11000.0,9,16,1,17,19.42074009,-99.2179807
fiesta inn,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,calle,gran sur,boulevard,adolfo ruiz cortines (anillo periferico),ninguno,ninguno,ninguno,ninguno,,,,,colonia,el pedregal carrasco,,,,ciudad de mexico,coyoacan,coyoacan,1641,018005045050,,www.fiestainn.com,fijo,2014-12,6310683,721111,5530.0,0.0,4700.0,9,3,1,40,19.3021085,-99.16564796
fiesta inn aeropuerto ciudad de mexico,grupo posadas sa de cv,hoteles con otros servicios integrados,101 a 250 personas,boulevard,puerto aereo,continuacion,norte 33,continuacion,puerto aereo,calle,oriente 174,,,,,colonia,moctezuma segunda seccion,,,,ciudad de mexico,venustiano carranza,venustiano carranza,0564,5551336626,veronica.arevalo@posadas.com,,fijo,2010-07,6327153,721111,502.0,,15530.0,9,17,1,1,19.43490774,-99.08820173
fiesta inn centro historico,grupo posadas sa de cv,hoteles con otros servicios integrados,51 a 100 personas,avenida,juarez,,,,,,,,,,,colonia,centro,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0748,015553266701,veronica.arevalo@posads.com,,fijo,2010-07,6258460,721111,76.0,,6000.0,9,15,1,26,19.43500497,-99.14675823
fiesta inn insurgentes sur,hoteles y villas posadas sa de cv,hoteles con otros servicios integrados,51 a 100 personas,avenida,damas,,,,,,,,,,,colonia,san jose insurgente,,,,ciudad de mexico,benito juarez,benito juarez,0914,015553266701,veronica.arealos@posadas.com,,fijo,2017-11,6813982,721111,130.0,,3900.0,9,14,1,2,19.36357752,-99.18322204
gran hotel amazonas,gran hotel amazonas sa de cv,hoteles con otros servicios integrados,31 a 50 personas,calzada,san antonio abad,calle,alfredo chavero,calle,manuel gutierrez najera,calle,5 de febrero,,,,,colonia,obrera,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,1159,5557403666,hotel2@prodigy.net.mx,granhotelamazonas.com,fijo,2010-07,6325300,721111,161.0,,6800.0,9,15,1,13,19.41427391,-99.13500938
gran hotel de la ciudad de mexico,administradora hotelera del centro sa de cv,hoteles con otros servicios integrados,101 a 250 personas,calle,16 de septiembre,calle,palma,calle,plaza de la constitucion,avenida,francisco i. madero,,,,,colonia,centro,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0771,,,,fijo,2010-07,6258483,721111,82.0,,6000.0,9,15,1,5,19.43202749,-99.13467699
grupo hotel el salvador,grupo hotel el salvador sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,republica del salvador,calle,bolivar,calle,isabel la catolica,calle,republica de uruguay,,,,,colonia,centro,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0818,5555211008,info@hotelelsalvador.com,www.hotelelsalvador.com,fijo,2010-07,6325304,721111,16.0,,6080.0,9,15,1,4,19.43024358,-99.1407202
hermes desarrollos turisticos sa de cv,hermes desarrollos turisticos sa de cv,hoteles con otros servicios integrados,0 a 5 personas,avenida,paseo de la reforma,calle,rio guadalquivir,calle,rio nilo,calle,rio volga,,edificio banorte,piso 8,,colonia,cuauhtemoc,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0930,5553268600,,,fijo,2019-04,6857949,721111,383.0,8.0,6500.0,9,15,1,4,19.42626123,-99.17013241
